# The average magnetic field strength produced by the spacecraft at the
# location of the outboard magnetometer of the dual magnetometers system 
# on V1 and V2 is about 0.1 - 0.2 nT, comparable to the most probable magnetic 
# field strength in the inner heliosheath and significantly larger than the most 
# probable magnetic field strength in the distant supersonic solar wind. 
# The spacecraft magnetic field is a complex, time-dependent signal that must
# be removed from the measured magnetic field signal in order to derive the 
# ambient magnetic fields of the solar wind and heliosheath. Corrections must 
# also be made for spurious magnetic signals and noise associated with the 
# telemetry system, ground tracking systems, and other factors. Extracting the 
# signal describing the solar wind and heliosheath from the many sources of 
# uncertainty is a complex and partly subjective process that requires 
# understanding of the instrument and judgment based on experience in dealing 
# with the ever-changing extraneous signals.  For the V2 MAG data the 1-sigma 
# uncertainty in the 48 sec averages for each of the components of the magnetic 
# field  BR, BT, and BN is typically +/- 0.03 nT; the uncertainty in magnitude f1 is 
# typically +/- 0.04 nT. F1, BR, BT, and BN can differ from one another and they 
# may vary with time, but there is no practical way to determine these uncertainties 
# more precisely at present.
#
# References 
#
# Daniel B. Berdichevsky, Voyager Mission, Detailed processing of weak magnetic 
# fields; I - Constraints to the uncertainties of the calibrated magnetic field signal 
# in the Voyager missions , 2009; 
# http://vgrmag.gsfc.nasa.gov/Berdichevsky-VOY_sensor_opu090518.pdf
#
# Behannon, K.W., M.H. Acuña, L.F. Burlaga, R.P. Lepping, N.F. Ness, and 
# F.M. Neubauer, Magnetic-Field Experiment for Voyager-1 and Voyager-2, 
# Space Science Reviews, 21 (3), 235-257, 1977. 
#
# Burlaga, L.F., Merged interaction regions and large-scale magnetic field 
# fluctuations during 1991 - Voyager-2 observations, J. Geophys. Res., 99 (A10), 
# 19341-19350, 1994. 
#
# Burlaga, L.F., N.F. Ness, Y.-M. Wang, and N.R. Sheeley Jr., Heliospheric magnetic 
# field strength and polarity from 1 to 81 AU during the ascending phase of solar 
# cycle 23, J. Geophys. Res., 107 (A11), 1410, 2002. 
#
# Ness, N., K.W. Behannon, R. Lepping, and K.H. Schatten, J. Geophys. Res., , 
# 76, 3564, 1971.
#
# SC	year	DOY	F1	BR	BT	BN	dF1	dBR	dBT	dBN
2	2008	3.5701	0.1273	0.0354	-0.0624	0.1051	0.04	0.03	0.03	0.03
2	2008	3.5706	0.1395	0.0418	-0.0683	0.1142	0.04	0.03	0.03	0.03
2	2008	3.5712	0.1322	0.0426	-0.0611	0.1091	0.04	0.03	0.03	0.03
2	2008	3.5717	0.1317	0.0357	-0.06	0.1115	0.04	0.03	0.03	0.03
2	2008	3.5723	0.1294	0.0277	-0.0558	0.1133	0.04	0.03	0.03	0.03
2	2008	3.5728	0.1274	0.0307	-0.0602	0.1079	0.04	0.03	0.03	0.03
2	2008	3.5734	0.1255	0.0276	-0.0626	0.1051	0.04	0.03	0.03	0.03
2	2008	3.574	0.1245	0.0357	-0.0681	0.0978	0.04	0.03	0.03	0.03
2	2008	3.5745	0.126	0.0302	-0.0673	0.1021	0.04	0.03	0.03	0.03
2	2008	3.5751	0.1265	0.0305	-0.0669	0.1029	0.04	0.03	0.03	0.03
2	2008	3.5756	0.1261	0.0299	-0.0599	0.1068	0.04	0.03	0.03	0.03
2	2008	3.5762	0.1333	0.0311	-0.0691	0.1096	0.04	0.03	0.03	0.03
2	2008	3.5767	0.1332	0.0261	-0.0728	0.1084	0.04	0.03	0.03	0.03
2	2008	3.5773	0.126	0.0282	-0.0704	0.1005	0.04	0.03	0.03	0.03
2	2008	3.5778	0.1208	0.0293	-0.0643	0.098	0.04	0.03	0.03	0.03
2	2008	3.5784	0.1176	0.0273	-0.0602	0.0971	0.04	0.03	0.03	0.03
2	2008	3.579	0.1237	0.0301	-0.0587	0.1046	0.04	0.03	0.03	0.03
2	2008	3.5795	0.1213	0.0274	-0.0574	0.1032	0.04	0.03	0.03	0.03
2	2008	3.5801	0.1254	0.0252	-0.0594	0.1074	0.04	0.03	0.03	0.03
2	2008	3.5806	0.1271	0.0232	-0.0654	0.1064	0.04	0.03	0.03	0.03
2	2008	3.5812	0.1215	0.025	-0.0613	0.1017	0.04	0.03	0.03	0.03
2	2008	3.5817	0.1269	0.0286	-0.0658	0.1047	0.04	0.03	0.03	0.03
2	2008	3.5823	0.1276	0.0316	-0.0603	0.1079	0.04	0.03	0.03	0.03
2	2008	3.5828	0.1319	0.0307	-0.0607	0.1128	0.04	0.03	0.03	0.03
2	2008	3.5834	0.1294	0.0285	-0.0534	0.1143	0.04	0.03	0.03	0.03
2	2008	3.584	0.1324	0.0291	-0.0568	0.116	0.04	0.03	0.03	0.03
2	2008	3.5845	0.1267	0.027	-0.0525	0.112	0.04	0.03	0.03	0.03
2	2008	3.5851	0.1251	0.0281	-0.0609	0.1055	0.04	0.03	0.03	0.03
2	2008	3.5856	0.1231	0.0298	-0.0552	0.1058	0.04	0.03	0.03	0.03
2	2008	3.5862	0.1307	0.0319	-0.0572	0.113	0.04	0.03	0.03	0.03
2	2008	3.5867	0.1359	0.0328	-0.0604	0.1172	0.04	0.03	0.03	0.03
2	2008	3.5873	0.1332	0.0301	-0.0685	0.11	0.04	0.03	0.03	0.03
2	2008	3.5878	0.1308	0.0279	-0.0673	0.1086	0.04	0.03	0.03	0.03
2	2008	3.5884	0.1262	0.0312	-0.0691	0.1008	0.04	0.03	0.03	0.03
2	2008	3.589	0.1272	0.0302	-0.0669	0.1038	0.04	0.03	0.03	0.03
2	2008	3.5895	0.1322	0.0305	-0.0692	0.1084	0.04	0.03	0.03	0.03
2	2008	3.5901	0.1325	0.0268	-0.0641	0.1128	0.04	0.03	0.03	0.03
2	2008	3.5906	0.1266	0.0233	-0.0544	0.1118	0.04	0.03	0.03	0.03
2	2008	3.5912	0.1315	0.0276	-0.0577	0.1149	0.04	0.03	0.03	0.03
2	2008	3.5917	0.1362	0.0303	-0.0643	0.1161	0.04	0.03	0.03	0.03
2	2008	3.5923	0.1377	0.0318	-0.0619	0.1188	0.04	0.03	0.03	0.03
2	2008	3.5928	0.1358	0.0329	-0.0662	0.1138	0.04	0.03	0.03	0.03
2	2008	3.5934	0.1296	0.0347	-0.0632	0.1073	0.04	0.03	0.03	0.03
2	2008	3.594	0.1228	0.0391	-0.0591	0.1003	0.04	0.03	0.03	0.03
2	2008	3.5945	0.1224	0.0436	-0.0557	0.0999	0.04	0.03	0.03	0.03
2	2008	3.5951	0.1207	0.0498	-0.0548	0.0951	0.04	0.03	0.03	0.03
2	2008	3.5956	0.1219	0.0582	-0.0504	0.0944	0.04	0.03	0.03	0.03
2	2008	3.5962	0.1245	0.0593	-0.0505	0.097	0.04	0.03	0.03	0.03
2	2008	3.5967	0.1201	0.0551	-0.0494	0.0945	0.04	0.03	0.03	0.03
2	2008	3.5973	0.1281	0.0514	-0.0553	0.1034	0.04	0.03	0.03	0.03
2	2008	3.5978	0.1213	0.0407	-0.0543	0.1004	0.04	0.03	0.03	0.03
2	2008	3.5984	0.1188	0.0407	-0.0539	0.0976	0.04	0.03	0.03	0.03
2	2008	3.599	0.1195	0.0426	-0.0502	0.0996	0.04	0.03	0.03	0.03
2	2008	3.5995	0.1239	0.0382	-0.0537	0.1048	0.04	0.03	0.03	0.03
