Voyager 2 48-sec averaged magnetic field data tab-delimited ascii files. 

The columns are:
1. SC   ID (Voyager 2)
2  year (2011)
3. DOY (Jan 1 = 1)
4. F1 (the magnetic field strength, the average of higher resolution field strengths, in nT)
5, 6, 7 BR, BT, BN (the magnetic field components in RTN coordinates, in nT)

The one sigma uncertainty is dBR ~= 0.03 nT and dBT ~= 0.03 nT. The uncertainty in dBN is larger, since we could not obtain this from a magrol; it could be between 0.02 nT and 0.1 nT. 

 SC	Yr		DOY	  F1		   Br		   Bt		   Bn
FLT2	14	301.90009	0.08174	-0.0582	-0.05692	0.00643	
FLT2	14	301.90063	0.0848	-0.05727	-0.06213	0.00518	
FLT2	14	301.90121	0.07985	-0.05356	-0.05901	0.00181	
FLT2	14	301.90176	0.0779	-0.04987	-0.05941	-0.0058	
FLT2	14	301.90231	0.0707	-0.04902	-0.05053	0.00377	
FLT2	14	301.90286	0.07413	-0.05385	-0.05065	0.00473	
FLT2	14	301.90341	0.07859	-0.05975	-0.05066	-0.00207	
FLT2	14	301.90399	0.08282	-0.05401	-0.06127	-0.01217	
FLT2	14	301.90454	0.0888	-0.06073	-0.06448	-0.00422	
FLT2	14	301.90509	0.09392	-0.06434	-0.0682	-0.00424	
FLT2	14	301.90564	0.08808	-0.05853	-0.06551	0.00237	
FLT2	14	301.90619	0.07885	-0.04629	-0.06333	0.00658	
FLT2	14	301.90677	0.08486	-0.04927	-0.06865	0.00647	
FLT2	14	301.90732	0.0901	-0.05282	-0.07235	0.00789	
FLT2	14	301.90787	0.08836	-0.05341	-0.07001	0.00177	
FLT2	14	301.90842	0.08996	-0.05434	-0.07134	0.00371	
FLT2	14	301.90897	0.09547	-0.05281	-0.07875	0.01073	
FLT2	14	301.90955	0.08987	-0.05169	-0.07332	0.00292	
FLT2	14	301.9101	0.08936	-0.04791	-0.07527	0.004	
FLT2	14	301.91064	0.09175	-0.04942	-0.07705	0.0039	
FLT2	14	301.91119	0.0818	-0.0486	-0.06442	0.011	
FLT2	14	301.91174	0.08494	-0.04637	-0.07088	0.00618	
FLT2	14	301.91232	0.07454	-0.03847	-0.06351	0.00155	
FLT2	14	301.91287	0.07855	-0.0459	-0.06335	-0.00596	
FLT2	14	301.91342	0.07778	-0.04434	-0.0635	-0.00466	
FLT2	14	301.91397	0.07712	-0.04149	-0.06483	1E-3	
FLT2	14	301.91452	0.07824	-0.03904	-0.06734	0.00544	
FLT2	14	301.9151	0.08382	-0.0488	-0.06799	-0.00348	
FLT2	14	301.91565	0.08203	-0.04941	-0.06535	2.5E-4	
FLT2	14	301.9162	0.08497	-0.05308	-0.0662	-0.0038	
FLT2	14	301.91675	0.08759	-0.04897	-0.07231	0.00597	
FLT2	14	301.9173	0.09457	-0.05618	-0.07594	-0.00228	
FLT2	14	301.91788	0.08915	-0.05508	-0.06989	-0.00239	
FLT2	14	301.91843	0.09351	-0.05358	-0.07657	2.4E-4	
FLT2	14	301.91898	0.08595	-0.05509	-0.06565	-0.00288	
FLT2	14	301.91953	0.08519	-0.06126	-0.05876	-0.00485	
FLT2	14	301.92007	0.0889	-0.05908	-0.06629	2.1E-4	
FLT2	14	301.92065	0.08593	-0.05676	-0.06424	-0.00105	
FLT2	14	301.9212	0.09041	-0.06344	-0.06396	0.00466	
FLT2	14	301.92175	0.09533	-0.06761	-0.06689	0.00602	
FLT2	14	301.9223	0.08827	-0.06186	-0.06255	0.00479	
FLT2	14	301.92288	0.093	-0.06005	-0.07085	0.00271	
